latitude,longitude,startdate,enddate,weather_code,temperature_max,temperature_min
52.52,13.41,2025-01-21,2025-01-21,48,0,-1
48.85,2.35,2025-01-20,2025-01-22,80,8,-1
13.155,80.196,2020-08-17,2020-08-20,61,33,24
12.74,77.82,2020-08-17,2020-08-19,53,27,19
41.3879,2.16992,2025-01-26,2025-01-26,3,15,9
40.4168,-3.7038,2025-01-26,2025-01-26,61,11,4
13.155,80.196,2020-08-17,2020-08-28,63,33,24
12.74,77.82,2020-08-17,2020-08-28,53,29,19
12.839,79.954,2020-08-27,2020-08-28,53,33,24
11.871,79.739,2020-08-27,2020-08-28,61,33,25
11.872,79.632,2020-08-27,2020-08-28,61,35,24
12.839,79.954,2020-08-28,2020-08-28,3,32,25
13.215,80.32,2020-08-28,2020-08-28,55,32,25
12.766,77.786,2020-08-28,2020-08-28,3,29,19
12.751,77.804,2020-08-28,2020-08-28,3,29,19
13.155,80.196,2020-08-28,2020-08-28,55,32,25
13.102,80.194,2020-08-27,2020-08-28,53,33,25
12.726,77.876,2020-08-28,2020-08-28,3,29,19
12.777,80.025,2020-08-28,2020-08-28,51,33,25
26.55,75.463,2020-08-28,2020-08-28,3,31,24
26.85,80.92,2020-08-25,2020-08-28,63,32,25
18.76,73.86,2020-08-25,2020-08-28,61,28,20
11.872,79.632,2020-08-25,2020-08-28,61,35,24
13.102,80.194,2020-08-25,2020-08-28,61,33,25
12.839,79.954,2020-08-25,2020-08-28,63,33,24
11.871,79.739,2020-08-26,2020-08-28,61,33,25
12.839,79.954,2020-08-26,2020-08-28,53,33,24
13.215,80.32,2020-08-26,2020-08-28,63,33,25
12.766,77.786,2020-08-26,2020-08-28,51,29,19
13.102,80.194,2020-08-26,2020-08-28,53,33,25
11.872,79.632,2020-08-26,2020-08-28,61,35,24
13.215,80.32,2020-08-27,2020-08-28,55,33,25
12.766,77.786,2020-08-27,2020-08-28,51,29,19
13.155,80.196,2020-08-27,2020-08-28,55,33,25
12.74,77.82,2020-08-27,2020-08-28,51,29,19
28.373,76.897,2020-08-27,2020-08-28,51,33,25
23.349,72.056,2020-08-27,2020-08-28,55,31,24
12.751,77.804,2020-08-27,2020-08-28,51,29,19
28.373519,76.835337,2020-08-27,2020-08-29,51,33,25
12.786517,79.975221,2020-08-27,2020-08-29,55,33,24
22.961777,72.094219,2020-08-27,2020-08-28,61,31,24
28.373519,76.835337,2020-08-27,2020-08-28,51,33,25
12.671093,77.779537,2020-08-27,2020-08-28,51,28,19
13.187219,80.307731,2020-08-27,2020-08-28,55,33,25
22.961777,72.094219,2020-08-27,2020-08-29,65,31,24
12.722686,77.676518,2020-08-27,2020-08-28,51,28,19
9.973636,78.281783,2020-08-27,2020-08-28,51,37,25
12.223062,76.690357,2020-08-27,2020-08-28,51,31,19
