vehicleType,customerID,supplierID,Material Shipped,ontime_delay,Org_latitude,Org_longitude,Des_latitude,Des_longitude,MT,ID,weather_code,temperature_max,temperature_min,diff_hours,planned_day_of_week,actual_day_of_week,planned_hour,actual_hour,planned_month,actual_month,origin_state,dest_state,distance
44,0,316,147,0,13.155,80.196,12.74,77.82,0,0,63,33,24,163.6509575,4,4,18,14,8,8,15,14,320.0
44,5,318,1357,1,12.839,79.954,12.839,79.954,0,1,53,33,24,-79.60161666666667,0,4,20,12,8,8,15,24,103.0
44,20,285,618,1,11.871,79.739,11.871,79.739,0,2,61,33,25,-77.93172055555556,0,4,21,16,8,8,13,20,300.0
44,5,271,763,1,12.839,79.954,12.839,79.954,0,3,3,32,25,-87.96569611111111,1,4,4,12,9,8,15,24,61.0
44,20,309,1279,1,11.872,79.632,11.872,79.632,0,4,51,34,24,-87.00808777777777,1,4,5,14,9,8,13,20,240.0
44,5,283,817,1,12.839,79.954,12.839,79.954,0,5,3,32,25,-88.80896861111111,1,4,6,13,9,8,15,24,70.0
44,5,283,817,1,12.839,79.954,12.839,79.954,0,6,3,32,25,-84.70390277777778,1,4,6,17,9,8,15,24,931.0
44,5,294,817,1,12.839,79.954,12.839,79.954,0,7,3,32,25,-96.55768055555555,1,4,13,12,9,8,15,24,20.0
44,0,319,817,1,13.215,80.32,12.766,77.786,0,8,55,32,25,-94.63636666666666,1,4,13,15,9,8,15,14,310.0
44,5,318,817,1,12.839,79.954,12.839,79.954,0,9,53,33,24,-85.69269722222222,1,4,2,12,9,8,15,24,103.0
44,5,294,817,1,12.839,79.954,12.839,79.954,0,10,3,32,25,-88.75856194444444,1,4,5,12,9,8,15,24,3.0
44,0,316,817,1,12.751,77.804,13.155,80.196,0,11,55,32,25,-94.5535286111111,1,4,14,15,9,8,9,24,570.0
44,5,288,1362,1,12.839,79.954,12.839,79.954,0,12,3,32,25,-97.55202138888889,1,4,14,12,9,8,15,24,21.0
44,5,312,1316,1,12.839,79.954,12.839,79.954,0,13,3,32,25,-97.5532963888889,1,4,14,12,9,8,15,24,15.0
44,5,271,1362,1,12.839,79.954,12.839,79.954,0,14,53,33,24,-83.79962861111112,1,4,0,12,9,8,15,24,103.0
44,20,309,1316,1,13.102,80.194,11.872,79.632,0,15,61,35,24,-83.73371027777777,1,4,0,13,9,8,15,20,170.0
44,5,318,1362,1,12.839,79.954,12.839,79.954,0,16,53,33,24,-84.19941111111112,1,4,1,12,9,8,15,24,103.0
44,20,309,352,1,11.872,79.632,13.102,80.194,0,17,61,35,24,-84.29877611111111,1,4,1,12,9,8,13,20,300.0
44,5,312,1253,1,12.839,79.954,12.839,79.954,0,18,3,32,25,-90.35291111111111,1,4,7,12,9,8,15,24,104.0
44,5,283,1176,1,12.839,79.954,12.839,79.954,0,19,3,32,25,-98.08252972222222,1,4,14,12,9,8,15,24,3.0
44,5,312,1175,1,12.839,79.954,12.839,79.954,0,20,3,32,25,-99.24694166666667,1,4,16,12,9,8,15,24,20.0
44,0,319,578,1,13.215,80.32,12.726,77.876,0,21,55,32,25,-97.64275916666666,1,4,14,12,9,8,9,24,560.0
44,33,268,260,1,12.777,80.025,12.778,80.025,0,22,51,33,25,-97.62121222222223,1,4,14,12,9,8,15,24,20.0
44,5,318,579,1,12.839,79.954,12.839,79.954,0,23,3,32,25,-98.21472777777778,1,4,15,12,9,8,15,24,21.0
44,5,271,1055,1,12.839,79.954,12.839,79.954,0,24,3,32,25,-98.16213527777778,1,4,15,13,9,8,15,24,21.0
44,5,294,1238,1,12.839,79.954,12.839,79.954,0,25,3,32,25,-98.88570944444444,1,4,15,12,9,8,15,24,20.0
44,5,318,777,1,12.839,79.954,12.839,79.954,0,26,3,32,25,-98.89037888888889,1,4,15,12,9,8,15,24,21.0
44,5,318,352,1,12.839,79.954,12.839,79.954,0,27,3,32,25,-98.59045833333333,1,4,15,13,9,8,15,24,29.0
44,22,314,352,1,26.55,75.463,26.55,75.463,0,28,3,31,24,-98.54150083333333,1,4,16,14,9,8,14,22,50.0
